,resource_name,type,details,ownership_status,format,format_details,storage_location,storage_location_details,private_public,agency,Respondent Full Name,size,collection_method,Imagery,Continuous,Observational,collection_method_details,name,name2,data_type
377,DOT TranServe System,dataset,Transit Benefits Approval System  https://transitapp.ost.dot.gov/index.cfm,private,database,NA,cloud,NA,private,FSIS,Antonetti_John,unknown,"continuous,observational",FALSE,TRUE,TRUE,NA,DOT TranServe System,DOT TranServe System,NA
139,Documenting Soil Archive Use in Peer-Reviewed Publications: 1915-2021,dataset,"Peer-reviewed publications with documented use of soil archives were identified through a literature search using the USDA National Agricultural Library’s Digitop search engine, supplemented with results from Wageningen University & Research Library and Google Scholar. References in identified publications were further screened for additional publications relating to use of archived soils. Only publications in English or with English abstracts were considered. Identified publications were vetted to ensure archived soils were experimentally used in each study. For purposes of this compilation, archived soils were designated as those that had been stored for five or more years. A total of 245 publications were identified. Each publication was reviewed for key metadata, including publication year, age of oldest sample, and sample collection location. Land use associated with archived soil, along with the subject of each investigation were also recorded. Compiled metadata were transcribed into a single spreadsheet with sortable columns. An abstract for each publication was included in the spreadsheet, and when available, a digital object identifier was recorded to facilitate electronic access. Compiled information in the spreadsheet provides researchers a valuable resource for documenting use of soil archives globally.

https://doi.org/10.6084/m9.figshare.16652890",opensource,excel,columns of metadata associated with peer-reviewed publications reporting use of soil archives.,cloud,Hosted on figshare,public,ARS,Liebig_Mark,100gb,other,FALSE,FALSE,FALSE,This was a literature review.  Key metadata were extracted from peer-reviewed papers.,Documenting Soil Archive Use in Peer-Reviewed Publications: 1915-2021,Documenting Soil Archive Use in Peer-Reviewed Publications: 1915-2021,NA
148,DNA and RNA sequences,dataset,DNA and RNA sequences,owned,database,NA,local,in external hard disks,private,ARS,fang_david,1tbplus,continuous,FALSE,TRUE,FALSE,NA,DNA and RNA sequences,DNA and RNA sequences,Genomic
141,DigiTop,dataset,"DigiTop is a service of the National Agricultural Library (NAL) delivering licensed electronic resources to authorized USDA users. DigiTop provides 24/7 access to key resources including databases, journals, newspapers, protocols, ebooks and other resources pertaining to agriculture, forestry and allied fields, including government, economics and business. It is only available to USDA employees. Here is the link to the resource: https://digitop.nal.usda.gov/",owned,other,web/online based resource,other,online,hybrid,ARS,Carder_Jessie,unknown,continuous,FALSE,TRUE,FALSE,NA,DigiTop,DigiTop,NA
327,DigiTop,dataset,DigiTop is a service of the National Agricultural Library (NAL) delivering licensed electronic resources to authorized USDA users.,private,database,NA,server,NA,private,ARS,Perez de Leon_Adalberto,1tbplus,continuous,FALSE,TRUE,FALSE,NA,DigiTop,DigiTop,NA
390,Digitized Library Materials,dataset,"I'm including this based on the fine print. The Library has a Digitization Unit which is constantly digitizing material from our stacks that we are able to share with the public. We do this two ways: individually with a Phase One camera system for rare or fragile materials, and in bulk through a contract with Internet Archive for on-site scanning.  You can see the materials scanned by IA here: https://archive.org/details/usdanationalagriculturallibrary

We are currently investigating a new way of storing both types of scans; right now the items digitized by NAL staff live on a local NAS while items scanned by IA largely stay on IA.",shared,other,"TIFFs, various OCR text and derivatives.",local,NA,public,ARS,Donahue_Rachel,1tbplus,imagery,TRUE,FALSE,FALSE,NA,Digitized Library Materials,Digitized Library Materials,NA
279,"Dell,  hp,  apple,",dataset,"Apple phone and iPad
hp printer
Dell laptop computer",commercial,excel,NA,cloud,iCloud,private,APHIS,Plagens_Matthew,unknown,observational,FALSE,FALSE,TRUE,NA,"Dell,  hp,  apple,","Dell,  hp,  apple,",NA
310,DB browser,dataset,database,opensource,database,NA,server,BOX,private,ARS,Snyder_Keirith,1tb,continuous,FALSE,TRUE,FALSE,NA,DB browser,DB browser,NA
297,database,dataset,"Databases developed by PIs used in tandem with CSV, SQL, GIS data layers, etc.",commercial,excel,NA,server,NA,hybrid,ARS,Ashworth_Amanda,unknown,"continuous,imagery,observational",TRUE,TRUE,TRUE,NA,database,database,NA
301,"Data on management effects on soil erodibility, redistribution rates, infiltration, evaporation, and salinity effects on soil erodibility",dataset,"Data from laboratory wind tunnels rainfall simulators, and field experiments using a Portable In-Situ Wind Erosion Research Laboratory",owned,excel,Excel spreadsheets,server,I have twin mirrored hard drives that are backed up to a server.,private,ARS,Van Pelt_Robert,100gb,observational,FALSE,FALSE,TRUE,NA,"Data on management effects on soil erodibility, redistribution rates, infiltration, evaporation, and salinity effects on soil erodibility","Data on management effects on soil erodibility, redistribution rates, infiltration, evaporation, and salinity effects on soil erodibility",Soil
300,Data files,dataset,spreadsheet to store and manipulate data,commercial,excel,Excel,local,NA,private,ARS,Burke_Joan,100gb,continuous,FALSE,TRUE,FALSE,NA,Data files,Data files,NA
426,Current Research Information System (CRIS),dataset,"https://www.nifa.usda.gov/data/cris-current-research-information-system

The Current Research Information System (CRIS) provides documentation and reporting for ongoing agricultural, food science, human nutrition, and forestry research, education and extension activities for the United States Department of Agriculture, with a focus on the National Institute of Food and Agriculture (NIFA) grant programs. Projects are conducted or sponsored by USDA research agencies, state agricultural experiment stations, land-grant universities, other cooperating state institutions, and participants in NIFA-administered grant programs, including Small Business Innovation Research, and Agriculture and Food Research Initiative. The Planning, Accountability, & Reporting Staff office is responsible for maintaining CRIS.

CRIS was authorized by the Secretary of Agriculture in 1966 to document the publicly-funded activities of the USDA/State agricultural and forestry research system. The system has expanded to include a number of education, extension and integrated activities. Most CRIS data is available to the public through a number of web sites.

CRIS projects relating to human nutrition are provided annually to the National Institutes of Health (NIH) for inclusion in the Human Nutrition Research and Information Management database (HNRIM). In CRIS, these projects are designated as the subfile, ""HNRIMS."" Updates occur annually; therefore, all human nutrition projects in CRIS may not yet be identified for inclusion in the HNRIMS subfile. I am not too familiar with this data collection. I made a best guess below.",owned,other,Not sure,other,Not sure,public,NIFA,Azevedo_Marline,unknown,continuous,FALSE,TRUE,FALSE,NA,Current Research Information System (CRIS),Current Research Information System (CRIS),NA
410,CTIS,dataset,"Utilized by SITC.
Treatments database.
https://treatments.cphst.org/",owned,other,no idea,server,NA,private,APHIS,Davis_Eoin,unknown,observational,FALSE,FALSE,TRUE,NA,CTIS,CTIS,NA
333,CropScape,dataset,We use this https://nassgeodata.gmu.edu/CropScape/ but do not develop our own - Just a user.,opensource,other,Not sure,other,Not sure,public,ARS,Cermak_Steven,unknown,imagery,TRUE,FALSE,FALSE,NA,CropScape,CropScape,Crop
34,Cropland Data Layer,dataset,Standard resource,owned,geoformat,NA,server,NA,public,ARS,Goslee_Sarah,100gb,imagery,TRUE,FALSE,FALSE,NA,Cropland Data Layer,Cropland Data Layer,Crop
59,Crop Data Layer,dataset,Provides crop mapped crop information for the conterminous USA. https://data.nal.usda.gov/dataset/cropscape-cropland-data-layer,owned,excel,NA,server,NA,public,ARS,Nouwakpo_Kossi,unknown,imagery,TRUE,FALSE,FALSE,NA,Cropland Data Layer,Cropland Data Layer,Crop
100,Cropland Data Layer,dataset,https://www.nass.usda.gov/Research_and_Science/Cropland/SARS1a.php,owned,geoformat,NA,server,NA,public,ARS,Saliendra_Nick,100gb,imagery,TRUE,FALSE,FALSE,NA,Cropland Data Layer,Cropland Data Layer,Crop
212,Cropland Data Layer,dataset,USDA Cropland Data Layer,owned,geoformat,tif,local,Local hard drive,private,ARS,Gamble_Josh,100gb,imagery,TRUE,FALSE,FALSE,NA,Cropland Data Layer,Cropland Data Layer,Crop
227,Cropland Data Layer,dataset,Cropland Data Layer,opensource,geoformat,NA,cloud,NA,public,ARS,Adler_Paul,unknown,other,FALSE,FALSE,FALSE,NA,Cropland Data Layer,Cropland Data Layer,Crop
284,Crop Data Layer,dataset,Maps crops grown each year in the United States,owned,geoformat,NA,server,NA,public,ARS,Baffaut_Claire,1tbplus,imagery,TRUE,FALSE,FALSE,NA,Cropland Data Layer,Cropland Data Layer,Crop
294,USDA NASS Cropland Data Layer,dataset,"The dataset showing which land in the country is used as cropland, it also includes some native land cover vegetation classes. 

https://developers.google.com/earth-engine/datasets/catalog/USDA_NASS_CDL#:~:text=USDA%20NASS%20Cropland%20Data%20Layers%20%20%20,%20%20Sorghum%20%2088%20more%20rows%20",owned,geoformat,NA,server,NA,public,ARS,Schreiner-McGraw_Adam,100gb,imagery,TRUE,FALSE,FALSE,NA,Cropland Data Layer,Cropland Data Layer,Crop
397,cropland data layer,dataset,"CDL product is a documented NGDA asset and disseminated on CropScape, CroplandCROS, NRCS Data Gateway, and NASS websites.",owned,other,.tif,other,"Stored on GMU premises, ARS cloud, NRCS federal facility and NASS federal facility",public,NASS,mueller_rick,100gb,imagery,TRUE,FALSE,FALSE,NA,Cropland Data Layer,Cropland Data Layer,Crop
220,Crop Sequence Boundaries (CSB),dataset,Crop Sequence Boundaries are created in Google Earth Engine (GEE) and ArcGIS Pro. They incorporate publicly available data from the Cropland Data Layer (CDL) and US Census TIGER line data.,owned,geoformat,Vector and raster data,cloud,Currently the data is made and stored in EDAPT and GEE.,hybrid,NASS,Hunt_Kevin,1tbplus,imagery,TRUE,FALSE,FALSE,NA,Crop Sequence Boundaries (CSB),Crop Sequence Boundaries (CSB),Genomic
325,Country Crop Production Maps,dataset,"Using ESRI ArcGIS Pro, we leverage shapefiles and feature classes of publicly provided county-level data (Admin Level 2, typically) to make maps of agricultural statistical data (such as wheat production, rice area, corn production, sorghum yield, etc.) to identify major crop producing regions within countries. We now cover more than 250 country-crop pairs.  https://ipad.fas.usda.gov/ogamaps/cropproductionmaps.aspx",owned,other,"It usually starts as Excel/CSV. While shapefiles/feature classes are used to create the maps, only map products are shared with the public, such that the format is jpg or png.",local,Technically on network drives for internal access.,hybrid,FAS,Colson_Lisa,100gb,other,FALSE,FALSE,FALSE,Collection of statistical or spreadsheet data.,Country Crop Production Maps,Country Crop Production Maps,Crop
133,Cotton Classification Data,dataset,Quality data produced by the USDA-AMS for every bale of cotton produced in the U.S. Data are also obtained for cotton samples produced during research testing.,owned,excel,"Text, fixed length fields",local,NA,private,ARS,Whitelock_Derek,100gb,other,FALSE,FALSE,FALSE,Data measured for a sample of cotton submitted to USDA-AMS,Cotton Classification Data,Cotton Classification Data,Crop
159,CosmosID,dataset,proprietary metagenomic database,commercial,database,NA,cloud,NA,private,ARS,Wheeler_Tommy,unknown,observational,FALSE,FALSE,TRUE,NA,CosmosID,CosmosID,NA
186,CoreOne/Surveillance Collaboration System,dataset,Data for animal disease laboratory/field testing and animal identification,commercial,database,NA,server,NA,private,APHIS,Logan_Michael,unknown,observational,FALSE,FALSE,TRUE,NA,CoreOne/Surveillance Collaboration System,CoreOne/Surveillance Collaboration System,Animal
58,Conservation Easements,dataset,Boundaries of conservation easemetns.,owned,geoformat,geodatabase,server,NA,hybrid,NRCS,Pierce_Ryan,100gb,continuous,FALSE,TRUE,FALSE,NA,Conservation Easements,Conservation Easements,Boundary
8,Conservation Desktops,dataset,Web Gis application record all conservation practices planned and completed.,owned,geoformat,NA,cloud,NA,private,NRCS,Saldana_Gabriel,unknown,observational,FALSE,FALSE,TRUE,NA,Conservation Desktops,Conservation Desktops,NA
260,Conditions to terminate reproductive diapause of Ceratapion basicorne,dataset,"Raw data from the publication: Smith, L., Park, I. 2022. Conditions to terminate reproductive diapause of a univoltine insect: Ceratapion basicorne (Coleoptera: Apionidae), a biological control agent of yellow starthistle. Environ. Entomol. 51(1): 71-76. 
Available at Ag Data Commons: https://doi.org/10.15482/USDA.ADC/1523394",opensource,excel,csv,server,NA,public,ARS,Smith_Lincoln,100gb,observational,FALSE,FALSE,TRUE,NA,Conditions to terminate reproductive diapause of Ceratapion basicorne,Conditions to terminate reproductive diapause of Ceratapion basicorne,Pest/Disease
7,Computer,dataset,Spreadsheets and statistical analyses files are stored on the computer hard drive.,owned,excel,Excel,local,NA,private,ARS,Burke_Joan,unknown,observational,FALSE,FALSE,TRUE,NA,Computer,Computer,NA
9,common land units,dataset,Field boundaries of customers participating in programs administered by FPAC agencies,owned,geoformat,NA,cloud,NA,hybrid,NRCS,Dostie_Dan,unknown,imagery,TRUE,FALSE,FALSE,NA,common land units,common land units,Boundary
19,FSA Common Land Unit (CLU),dataset,The FSA Common Land Unit (CLU) layer is the most used layer we have when working with private land owners.,owned,geoformat,Feature class and shapefile,server,NA,private,NRCS,Buehler_Eric,unknown,imagery,TRUE,FALSE,FALSE,NA,common land units,common land units,Boundary
54,Common Land Unit (CLU) Dataset,dataset,Dataset that provides delineations of farming parcel polygons.,owned,geoformat,NA,server,NA,private,FPAC,Blankley_Brent,unknown,"continuous,other",FALSE,TRUE,FALSE,Unknown,common land units,common land units,Boundary
189,Common land units,dataset,none,owned,geoformat,NA,server,NA,private,NRCS,Runge_Crystal,1tb,observational,FALSE,FALSE,TRUE,NA,common land units,common land units,Boundary
195,GIS NCLU - Common Land Unit Layer,dataset,It is the base layer used for acreage reporting purposes.  We need the ability to create a geospatial acreage reporting layer from this base layer.,owned,geoformat,NA,server,NA,hybrid,FSA,Uecker_Gwen,1tbplus,continuous,FALSE,TRUE,FALSE,NA,common land units,common land units,Boundary
356,Cognos,dataset,This database is used to create reports for our end of the month activity reporting.  It is also used to recall history of importation for individual costumers.,commercial,excel,Excel,server,NA,private,APHIS,Ferretti_Rebekah,unknown,continuous,FALSE,TRUE,FALSE,NA,Cognos,Cognos,NA
33,GridMET climate data,dataset,https://www.climatologylab.org/gridmet.html,freeware,geoformat,NetCDF,other,See link,public,ARS,Goslee_Sarah,1tb,continuous,FALSE,TRUE,FALSE,NA,Climate data,Climate data,Climate
35,LOCA downscaled CMIP5 climate projections,dataset,http://loca.ucsd.edu/,freeware,geoformat,NetCDF,other,See link,public,ARS,Goslee_Sarah,1tbplus,other,FALSE,FALSE,FALSE,Modeled data,Climate data,Climate data,Climate
86,"GCM projections (CMIP5, CMIP6)",dataset,climate change projections by Global Climate Models,opensource,database,NETCDF/CF,other,data center,public,ARS,Zhang_John,1tbplus,other,FALSE,FALSE,FALSE,model simulation,Climate data,Climate data,Climate
87,NWS climate data,dataset,long term weather station data for NWS cooperative weather stations,owned,database,ASCII,server,NA,public,ARS,Zhang_John,unknown,observational,FALSE,FALSE,TRUE,NA,Climate data,Climate data,Climate
99,Climate data,dataset,https://products.climate.ncsu.edu/climate/,shared,database,NA,server,NA,public,ARS,Franzluebbers_Alan,unknown,continuous,FALSE,TRUE,FALSE,NA,Climate data,Climate data,Climate
164,MarkSimGCM,dataset,"This is a free web application that allows users to download historical and future climate data for any location in the world. User inputs include the latitude and longitude of a location, the GCMs to be used (the tool automatically averages the outputs of multiple GCMs to create a single value), the desired RCP, the target year, and the number of reps (multiple reps are used to account for inter-annual variability).  The tool deals with all of the downscaling, averaging, etc, outputting a simple daily climate file.",freeware,database,"The data is accessible online. The user does not have direct access to the entire database, but can use the web application to retrieve the data.",cloud,NA,public,ARS,Paff_Kirsten,unknown,other,FALSE,FALSE,FALSE,This is mostly simulated future climate data.,Climate data,Climate data,Climate
213,"Climate data sets (NOAA temeprature, wind, precipitation, humidity, solar radiation)",dataset,NOAA climate data for the US,opensource,database,NA,cloud,NA,public,ARS,Tatarko_John,1tbplus,continuous,FALSE,TRUE,FALSE,NA,Climate data,Climate data,Climate
231,"TerraClimate https://www.climatologylab.org/terraclimate.html, gridMET https://www.climatologylab.org/gridmet.html",dataset,"TerraClimate https://www.climatologylab.org/terraclimate.html, gridMET https://www.climatologylab.org/gridmet.html",opensource,geoformat,NA,other,NA,public,ARS,Adler_Paul,unknown,other,FALSE,FALSE,FALSE,NA,Climate data,Climate data,Climate
321,ClimateNA,dataset,"https://climatena.ca/ 

ClimateNA is a standalone MS Windows application that downscales PRISM  1971-2000 gridded monthly climate normal data (800 x 800 m) to scale-free point locations. It calculates and derives many (>200) monthly, seasonal and annual climate variables. ClimateNA also uses the scale-free data as a baseline to downscale historical and future climate variables for individual years and periods between 1901 and 2100. ClimateNA covers entire North America. It is scale free and can read many types of inputs and can create outputs to match the same scale and dimensions. It can use up to 13 GCMs ensembled under 4 RCPs different to produce different results. 

The web based mapping application can be used for visualization: https://www.climatewna.com/default.aspx",opensource,database,MS Windows application that can output data in multiple formats given input format.,local,Stored on local drive within the application when downloaded,public,APHIS,Nicolette_Jordan,100gb,"continuous,imagery",TRUE,TRUE,FALSE,NA,Climate data,Climate data,Climate
332,USDA Climate Hubs,dataset,"The Climate Hubs and their partners support USDA's Climate Adaptation and Resilience Plan connecting science and practice, and through tailored outreach activities.",opensource,geoformat,NA,server,NA,public,ARS,Perez de Leon_Adalberto,1tbplus,imagery,TRUE,FALSE,FALSE,NA,Climate data,Climate data,Climate
399,Clear,dataset,"This is a SITC resource.
www.clearme.com
This is used in smuggling trace work.",commercial,other,"Unknown.  This is a private, web-accessed data set.",other,Internet portal access.,hybrid,APHIS,Davis_Eoin,unknown,other,FALSE,FALSE,FALSE,I don't know how they collect their data.,Clear,Clear,NA
266,https://data.chc.ucsb.edu/products/CHIRPS-2.0/,dataset,CHIRPS Precipitation Data,opensource,geoformat,NA,local,NA,public,FAS,Blackburn_Justin,1tb,continuous,FALSE,TRUE,FALSE,NA,CHIRPS,CHIRPS,Weather
411,CBP Automated Targeting System (ATS),dataset,"CBP resource, utilized by SITC.  Access recently lost.  Extremely helpful database.  Without it, SITC trace work takes ~3x as long as before.
https://www.dhs.gov/publication/automated-targeting-system-ats-update",owned,other,unknown,other,CBP resource,private,APHIS,Davis_Eoin,unknown,other,FALSE,FALSE,FALSE,unknown,CBP Automated Targeting System (ATS),CBP Automated Targeting System (ATS),NA
71,Cattle and Sheep WGS,dataset,"https://www.ars.usda.gov/plains-area/clay-center-ne/marc/wgs/main/
https://agresearchmag.ars.usda.gov/2017/mar/cattle/
Whole genome sequence files accessible at AWS by the Integrative Genome Viewer (IGV) software",opensource,other,.bam files,cloud,"This month I will pay $1000/month of my bench dollars for storage of 44TB at AWS, with have of that cost being transfers",public,ARS,Heaton_Mike,1tbplus,observational,FALSE,FALSE,TRUE,NA,Cattle and Sheep WGS,Cattle and Sheep WGS,Animal
216,BugGuide.net,dataset,"As an entomologist I used this user-generated database to aid in insect identification for my job. Whether I receive a phone call or email requesting an insect identification or I need to make an initial identification before sending a potential pest off to the Federal identifier, this website serves as an excellent tool for narrowing a specimen down to the Family, Genus, and sometimes even Species level. The url is: https://bugguide.net/node/view/15740",opensource,other,"This is a website that contains a vast amount of information including photographs, descriptions of insects, and links to references. I do not know how the data is stored ""behind the scenes.""",cloud,NA,public,APHIS,Swink_Whitney,unknown,other,FALSE,FALSE,FALSE,This is a community-built database so individual users upload photographs or provide identifications or references through the website.,BugGuide.net,BugGuide.net,Pest/Disease
311,BOX,dataset,We store data in BOX,owned,excel,NA,server,NA,private,ARS,Snyder_Keirith,1tbplus,continuous,FALSE,TRUE,FALSE,NA,BOX,BOX,NA
180,Boundaries and fencelines of pastures/allotments,dataset,"Vector data, manually delineated from handheld GPS units, digitally drawn or collected from existing public databases. Depicts fencelines and boundaries of individual pastures or allotments at Pawnee National Grasslands, Thunder Basin National Grasslands and the Central Plains Experimental Range.",owned,geoformat,NA,server,NA,hybrid,ARS,Kearney_Sean,100gb,observational,FALSE,FALSE,TRUE,NA,Boundaries and fencelines of pastures/allotments,Boundaries and fencelines of pastures/allotments,NA
419,Bizapedia,dataset,"Utilized by SITC.
https://www.bizapedia.com/

Used so much that it locks us all out since it recognizes our IP addresses.  They want us to pay $120.00 a month.",commercial,other,unknown,other,Internet site,hybrid,APHIS,Davis_Eoin,unknown,other,FALSE,FALSE,FALSE,unknown,Bizapedia,Bizapedia,NA
317,https://bch.cbd.int/en/,dataset,https://bch.cbd.int/en/,opensource,database,NA,cloud,NA,public,APHIS,Shen_Zhengxing,unknown,observational,FALSE,FALSE,TRUE,NA,Biosafety Clearing-House (BCH),Biosafety Clearing-House (BCH),NA
320,Biosafety Clearing-House (BCH),dataset,https://bch.cbd.int/en/,opensource,database,NA,cloud,NA,public,APHIS,Shen_Zhengxing,unknown,observational,FALSE,FALSE,TRUE,NA,Biosafety Clearing-House (BCH),Biosafety Clearing-House (BCH),NA
121,Bibliography of Aeolian Research,dataset,"A comprehensive bibliography of wind erosion research topics available at:

https://data.mendeley.com/datasets/675gwk5jp7/1",private,excel,NA,other,Mendely Data site. https://data.mendeley.com/datasets/675gwk5jp7/1,public,ARS,Stout_John,100gb,other,FALSE,FALSE,FALSE,Bibliography,Bibliography of Aeolian Research,Bibliography of Aeolian Research,NA
330,Axon,dataset,"Axon, the USDA-ARS Intranet site, is a central place where ARS employees can find, access, and share information and resources needed to perform their jobs more effectively.",commercial,database,NA,server,NA,private,ARS,Perez de Leon_Adalberto,1tbplus,observational,FALSE,FALSE,TRUE,NA,Axon,Axon,NA
234,ARMS Farm Financial and Crop Production Practices data,dataset,ARMS Farm Financial and Crop Production Practices data,owned,excel,NA,server,NA,private,ARS,Adler_Paul,unknown,observational,FALSE,FALSE,TRUE,NA,ARMS Farm Financial and Crop Production Practices data,ARMS Farm Financial and Crop Production Practices data,Crop
191,ARM,dataset,APHIS owned interception data,owned,excel,NA,server,NA,public,APHIS,Mengistu_Tesfamariam,1tb,"continuous,observational",FALSE,TRUE,TRUE,NA,ARM Application and Data Mart,ARM Application and Data Mart,Pest/Disease
201,ARM,dataset,"https://arm.aphis.edc.usda.gov/armWeb2/arm_web/workspace

We enter data  in, as well as we use it to analyze, work, research etc.",private,other,"SQL, + other text formats",server,probably has moved to Amazon,private,APHIS,Shukla_Rajya,unknown,"imagery,observational,other",TRUE,FALSE,TRUE,"Inputs from all Inspection station, documents, observations, images.",ARM Application and Data Mart,ARM Application and Data Mart,Pest/Disease
243,ARM Application and Data Mart,dataset,"the archiving, editing, scheduling, and publishing of reports.",owned,database,NA,cloud,NA,private,APHIS,Jones _Marcus,unknown,continuous,FALSE,TRUE,FALSE,NA,ARM Application and Data Mart,ARM Application and Data Mart,Pest/Disease
247,ARM,dataset,Internal CBP/USDA APHIS database of foreign pests intercepted at borders or domestically. Notoriously convoluted and error prone.,owned,database,Exportable as .csv or .xls filetypes.,server,NA,private,APHIS,Young_Stephen,unknown,observational,FALSE,FALSE,TRUE,NA,ARM Application and Data Mart,ARM Application and Data Mart,Pest/Disease
143,ARIS,dataset,ARS's resource apportionment software.,owned,database,Don't know.,server,Don't know,private,ARS,Bretting_Peter,unknown,observational,FALSE,FALSE,TRUE,NA,ARIS,ARIS,NA
429,ARIS,dataset,"ARIS is a project documentation and retrieval system, containing information on all in-house research as well as all extramural research and projects in cooperation and collaboration with outside institutions. The system holds information pertaining to all aspects of the research projects, funding levels, publications and progress, and personnel. There are numerous subsystems within ARIS that are used throughout ARS, by a variety of personnel from the Research Unit level, to the ARS Administrator level.",owned,database,NA,cloud,NA,private,ARS,Steele_Rachel,unknown,observational,FALSE,FALSE,TRUE,NA,ARIS,ARIS,NA
5,ArcGIS Field Maps,dataset,This is a GIS tool with an interface specifically set up for surveys; we use this for insect surveys including exotic bark beetles and Gypsy moth / spongy moth.,commercial,geoformat,NA,cloud,NA,hybrid,APHIS,Krecik_Stephen,unknown,observational,FALSE,FALSE,TRUE,NA,ArcGIS,ArcGIS,Pest/Disease
73,ARC GIS,dataset,Geospatial analysis software,commercial,geoformat,NA,local,NA,private,ARS,Szogi_Ariel,100gb,"imagery,observational",TRUE,FALSE,TRUE,NA,ArcGIS,ArcGIS,NA
185,ArcMap / Arc GIS Pro,dataset,"Use the product to respond to Surveyors, Land Owners and Title Attorneys records requests. Also create exhibits and basic map series for the above mentioned.",commercial,geoformat,NA,server,Data is stored on shared T Drive,hybrid,FS,Holifield_Jason,unknown,other,FALSE,FALSE,FALSE,Combination of data collection methods,ArcGIS,ArcGIS,Animal
187,ArcGIS,dataset,I use to map ArcMaps regarding livestock and disease,commercial,geoformat,NA,server,NA,private,APHIS,Logan_Michael,unknown,observational,FALSE,FALSE,TRUE,NA,ArcGIS,ArcGIS,NA
192,"ArcGIS Collector, Survey 123 and Field Maps",dataset,Collector app used for survey and treatment work.  Configured by the end user group.,commercial,geoformat,NA,server,NA,private,APHIS,Clark_Stephen,unknown,"observational,other",FALSE,FALSE,TRUE,Data collected manually during survey and treatment,ArcGIS,ArcGIS,NA
194,ArcGIS,dataset,Use of hand held unit Trimble GPS model TD 150 used to design and certify conservation practices for planning and check outs.,commercial,geoformat,Arc Map documents for conservation practice designs and checkouts.,cloud,ArcGIS login,private,NRCS,Earl_Elizabeth,unknown,observational,FALSE,FALSE,TRUE,NA,ArcGIS,ArcGIS,NA
292,USDA ArcGIS Portal,dataset,This ArcGIS portal contains package layers that we use in our critical habitat analysis in our release site analysis for release permitting.,owned,geoformat,pkg,server,Agency-owned. I believe it is cloud-based,private,APHIS,Beetham_Patricia,100gb,imagery,TRUE,FALSE,FALSE,NA,ArcGIS,ArcGIS,NA
299,Survey123,dataset,An ESRI program that links to ArcGis used to develop surveys for data collection with spatial data.,commercial,geoformat,Can be saved in Excel/csv as well,cloud,Data is also downloaded and stored on local drive.,private,ARS,Kobilansky_Chantel,100gb,observational,FALSE,FALSE,TRUE,NA,ArcGIS,ArcGIS,NA
315,ArcGIS,dataset,We use it to do our modified organism environment  release analysis,commercial,geoformat,shapefile,cloud,NA,hybrid,APHIS,Shen_Zhengxing,unknown,imagery,TRUE,FALSE,FALSE,NA,ArcGIS,ArcGIS,NA
21,Animal Observations and Species of Greatest Conservation Need (SGCN) and habitat areas,dataset,"We purchase the animal observations dataset from the Idaho Fish and Game.  This shows observations of all different kinds of animals, including species of greatest conservation need (SGCN).  There are also polygons for habitat areas of different species and big game priority areas.",private,geoformat,"geodatabase, feature class",other,we publish an web service to GeoPortal for field use.,private,NRCS,Buehler_Eric,100gb,observational,FALSE,FALSE,TRUE,NA,Animal Observations and Species of Greatest Conservation Need (SGCN) and habitat areas,Animal Observations and Species of Greatest Conservation Need (SGCN) and habitat areas,Animal
80,Ameriflux,dataset,Data repository for eddy covariance data owned by DOE.  Website - https://ameriflux.lbl.gov/,owned,excel,NA,server,NA,hybrid,ARS,Anderson_Ray,unknown,observational,FALSE,FALSE,TRUE,NA,Ameriflux,Ameriflux,Vegetation
103,"AmeriFlux, FluxNet",dataset,"https://ameriflux.lbl.gov/about/about-ameriflux/
https://fluxnet.org/",shared,database,NA,server,NA,hybrid,ARS,Saliendra_Nick,unknown,continuous,FALSE,TRUE,FALSE,NA,Ameriflux,Ameriflux,Vegetation
326,Ameriflux network,dataset,"AmeriFlux is a network of PI-managed sites measuring ecosystem CO2, water, and energy fluxes in North, Central and South America. It was established to connect research on field sites representing major climate and ecological biomes, including tundra, grasslands, savanna, crops, and conifer, deciduous, and tropical forests. As a grassroots, investigator-driven network, the AmeriFlux community has tailored instrumentation to suit each unique ecosystem. This “coalition of the willing” is diverse in its interests, use of technologies and collaborative approaches. As a result, the AmeriFlux Network continually pioneers new ground.",opensource,database,"Data from individual towers are uploaded/downloaded in CSV format, stored in SQL database",cloud,AmeriFlux scientists share their data openly with the global community through the AmeriFlux Network.,public,ARS,Duff_Alison,unknown,continuous,FALSE,TRUE,FALSE,NA,Ameriflux,Ameriflux,Vegetation
286,All NASS Data,dataset,"Crop data (yields, acres planted, ....) by county for the United States,",owned,database,Not sure what the exact format USDA uses to store the data.,server,NA,public,ARS,Baffaut_Claire,1tbplus,"imagery,observational,other",TRUE,FALSE,TRUE,A combination of multiple sources including imagery and surveys,All NASS Data,NASS,Yield
264,ALB Program Database,dataset,"Database used by the Asian Longhorned Beetle Program to store and analyze geospatial data pertaining to tree surveys, tree removals, and other reference layers needed for day-to-day operations.",owned,geoformat,NA,cloud,Stored in the APHIS GIS Portal,private,APHIS,Dean_Kimberly,unknown,"observational,other",FALSE,FALSE,TRUE,Data collected by program staff on a daily basis whenever they are conducting routine program duties.,ALB Program Database,ALB Program Database,Pest/Disease
